KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection
data-incubator-climb,Climb Dataincubator,http://api.talis.com/stores/climb/services/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['meta/void', 'api/sparql', 'meta/rdf-schema']",0,0,0,0,1
data-incubator-discogs,Discogs in RDF,,[],False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,['gzip::nquads'],0,0,0,0,1
data-incubator-moseley,Moseley Folk Festival Data,http://api.talis.com/stores/moseley/services/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['api/sparql', 'meta/void', 'googleclone', 'gzip::nquads']",0,0,0,0,1
data-incubator-musicbrainz,Data Incubator: MusicBrainz,http://api.talis.com/stores/musicbrainz/services/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'meta/void']",0,0,0,0,1
data-szepmuveszeti-hu,data-szepmuveszeti-hu,http://data.szepmuveszeti.hu/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'application/x-ntriples', 'application/x-ntriples', 'meta/void', 'meta/rdf-schema']",0,0,0,0,1
datos-artium-org,datos-artium-org,http://datos.artium.org/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'application/x-ntriples', 'application/x-ntriples', 'application/x-ntriples', 'application/x-ntriples', 'application/x-ntriples', 'application/x-ntriples', 'meta/void', 'meta/rdf-schema']",0,0,0,0,1
datos-bne-es,datos.bne.es,http://datos.bne.es/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,1.0,1,1,1,"['api/sparql', 'application/turtle', 'meta/void', 'bz2:nt', 'bz2:nt', 'bz2:nt']",0,0,0,0,1
dbtropes,DBTropes,,[],False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,['application/x-ntriples'],0,1,0,0,1
dbtune-artists-last-fm,DBTune.org Artists: Last.fm,,[],False,1,0.0,1,0.3333333333333333,0,1,0,1,Check manually,1,1,1,[],0,0,0,0,1
dbtune-audioscrobbler,DBTune.org AudioScrobbler RDF Service,,[],False,1,0.0,1,0.3333333333333333,0,1,0,1,Check manually,1,1,1,[],0,0,0,0,1
